benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps
resnet,none,0,1,offline,2,10, 120.01584615233632
resnet,none,0,1,offline,4,10, 128.6941806374338
resnet,none,0,1,offline,8,10, 132.9462374554732
resnet,none,0,1,offline,10,10, 120.3515511268987
resnet,none,0,1,offline,16,10, 112.4386360669417
resnet,none,0,1,offline,32,10, 100.81285442924717
resnet,none,0,2,offline,2,10, 140.55022861572766
resnet,none,0,2,offline,4,10, 148.1477293207525
resnet,none,0,2,offline,8,10, 152.03553152294245
resnet,none,0,2,offline,10,10, 147.53549405900398
resnet,none,0,2,offline,16,10, 133.90268844974986
resnet,none,0,2,offline,32,10, 117.43194573711455
resnet,none,0,4,offline,2,10, 141.73653036784594
resnet,none,0,4,offline,4,10, 150.73082267760566
resnet,none,0,4,offline,8,10, 153.8109087857375
resnet,none,0,4,offline,10,10, 146.515896734099
resnet,none,0,4,offline,16,10, 140.60955552739614
resnet,none,0,4,offline,32,10, 131.50984944444383
resnet,none,0,8,offline,2,10, 141.40999540156108
resnet,none,0,8,offline,4,10, 147.34730765465414
resnet,none,0,8,offline,8,10, 150.32908985022715
resnet,none,0,8,offline,10,10, 128.20969658040033
resnet,none,0,8,offline,16,10, 140.33120066085445
resnet,none,0,8,offline,32,10, 133.94542010028192
resnet,none,0,16,offline,2,10, 133.53738977446105
resnet,none,0,16,offline,4,10, 145.47084513654133
resnet,none,0,16,offline,8,10, 149.5737061108781
resnet,none,0,16,offline,10,10, 137.4540646220483
resnet,none,0,16,offline,16,10, 142.22992016419806
resnet,none,0,16,offline,32,10, 136.2031805619277
resnet,none,0,32,offline,2,10, 137.17944343680176
resnet,none,0,32,offline,4,10, 138.79562163911797
resnet,none,0,32,offline,8,10, 137.09232466856386
resnet,none,0,32,offline,10,10, 137.75929176558853
resnet,none,0,32,offline,16,10, 132.99246856032104
resnet,none,0,32,offline,32,10, 129.07185563051257
